layer,lambda,mean_DAS
6,-14.0,3.058859045906432
6,-12.0,3.0682418120727717
6,-10.0,3.064515576070585
6,-8.0,3.0684712419398195
6,-6.0,3.0698752642303178
6,-4.0,3.0710562913375945
6,-2.0,3.067144533233647
6,2.0,3.0684121758564094
6,4.0,3.0740735055036694
6,6.0,3.058432187211344
6,8.0,3.053317588408878
6,10.0,3.055529429187608
6,12.0,3.0534328894425165
6,14.0,3.0390123166221628
16,-14.0,3.0064279809296988
16,-12.0,3.007039100655833
16,-10.0,3.008732467713203
16,-8.0,3.0224258524272414
16,-6.0,3.0301864671359513
16,-4.0,3.025448112574512
16,-2.0,3.0508218266757208
16,2.0,3.0724211189080437
16,4.0,3.0845831067405536
16,6.0,3.102929820203166
16,8.0,3.119240341640455
16,10.0,3.141994709931361
16,12.0,3.1463256261174273
16,14.0,3.1564918377630367
